role,company,location,time,link,scraped
Data Analyst,LEJHRO,India,28 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-lejhro-3247807263?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=nn7cuO5hdgswYtWib6kPgA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Learn Data Analyst,LEJHRO,India,8 minutes ago,https://in.linkedin.com/jobs/view/learn-data-analyst-at-lejhro-3252911954?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=MY5bC0FkccgJvGevKQSyLQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Senior Data Analyst,Study Group,"Delhi, India",5 hours ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-study-group-3247186473?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=akjvG8UytCRFs65cNQakLQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
StratMed - Data Analyst,StratMed,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/stratmed-data-analyst-at-stratmed-3252190471?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=SDww2dCgaH9anhOb2qLv8w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
SQL (Data Analyst),Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/sql-data-analyst-at-giant-eagle-gcc-3252182840?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=Ver0x9S094s5gueZGlzU7g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst [SQL],Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-at-giant-eagle-gcc-3252183736?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=9STU8xOQJc53YEYL7P98BQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Urgent openings for Data Analyst/Data Associate with leading MNC at Powai,Catalyst Corporate Services Pvt Ltd,"Mumbai, Maharashtra, India",18 hours ago,https://in.linkedin.com/jobs/view/urgent-openings-for-data-analyst-data-associate-with-leading-mnc-at-powai-at-catalyst-corporate-services-pvt-ltd-3251881881?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=VJXOZeawLM%2FLmUMN5Hdtqw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst [SQL & Python],Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-giant-eagle-gcc-3252183734?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=HjMQGu873BNjpBo5yvEoww%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Analyst - Data Science - Python/Machine Learning/Analytics,HuQuo,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-python-machine-learning-analytics-at-huquo-3252190474?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=8Jry50Z90crgF1QaPFNxkQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst,ITC Infotech,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-itc-infotech-3150721957?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=NYHKQR0W7xIg3zbvbG9dtg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Fyr Homes - Data Analyst,Pretium Enterprise Operations India Private Limited,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/fyr-homes-data-analyst-at-pretium-enterprise-operations-india-private-limited-3252188728?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=vYRk7K98BFgaaBOV4ImF3w%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
eDiscovery Data Analyst,Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/ediscovery-data-analyst-at-giant-eagle-gcc-3252188009?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=BGnCmW4RVrzE0zLQ6TQQDA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Senior Data Analyst,RENOVISION AUTOMATION SERVICES PVT.LTD,"Chennai, Tamil Nadu, India",1 hour ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-renovision-automation-services-pvt-ltd-3254817143?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=To53dnOlnN16Qrdj7GpP%2FQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,IVEOND,"Mumbai, Maharashtra, India",6 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-iveond-3247808395?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=Fr28f8DaKxc0dQ%2FrvW7JfA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Saarthee - Senior Data Analyst - Python/Spark/Minio,Saarthee,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/saarthee-senior-data-analyst-python-spark-minio-at-saarthee-3252189634?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=EAX7%2FxRllNvFidV3UU9Abw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,Pointers Inc.,Greater Hyderabad Area,1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-at-pointers-inc-3247169399?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=aatZG5bRewNm7Vq89AzZ6g%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
2023 Global Data Analytics - Mumbai,Jobs via eFinancialCareers,"Mumbai, Maharashtra, India",21 hours ago,https://in.linkedin.com/jobs/view/2023-global-data-analytics-mumbai-at-jobs-via-efinancialcareers-3253347342?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=CdUlZOkPIInGyKHuGAtwIA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Saarthee - Senior Analyst/Associate - Data Analytics,Saarthee,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/saarthee-senior-analyst-associate-data-analytics-at-saarthee-3252192279?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=KPZe6GzQYTQ%2FjaApSM0zzg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,Just Wines,"Faridabad, Haryana, India",46 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-just-wines-3254816945?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=yGwAn4ukfJd6BC9qTyyz1Q%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Order Management & Procurement Data Analyst,Motorola Solutions,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/order-management-procurement-data-analyst-at-motorola-solutions-3083708023?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=W21ICqIRqOTobIBbxnDGBA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer- Azure,Confidential Jobs,"Delhi, India",57 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-azure-at-confidential-jobs-3247195926?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=6ECUB2XBBIFaJF%2B2zf4SOQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
AM - Analytics-ANA004742,Genpact,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/am-analytics-ana004742-at-genpact-3118803572?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=pLswQ7agM1Pt%2BpyRcn%2Bslw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer [5+ years],Synechron,"Pune, Maharashtra, India",20 hours ago,https://in.linkedin.com/jobs/view/data-engineer-5%2B-years-at-synechron-3145521620?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=jrjXMUDErRuB%2F3hAyuk0Jg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Manager/Senior Manager - Data Analyst,HuQuo,"Ahmedabad, Gujarat, India",12 hours ago,https://in.linkedin.com/jobs/view/manager-senior-manager-data-analyst-at-huquo-3252189632?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=hjgmo5r4iUNytgEYOE5daQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,Xiaomi India,"Bengaluru, Karnataka, India",8 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-xiaomi-india-3247145802?refId=GH8mYyYeTNwG%2FC3xvwj7eg%3D%3D&trackingId=pZ2pdBOiMjjTWWRjgrIxqw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Analyst,LEJHRO,India,29 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-lejhro-3247807263?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=Af2ejIhJEB4ELqnTtaXO8g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Learn Data Analyst,LEJHRO,India,8 minutes ago,https://in.linkedin.com/jobs/view/learn-data-analyst-at-lejhro-3252911954?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=ftPkvEXymowdUuh93GWdBg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Senior Data Analyst,Study Group,"Delhi, India",5 hours ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-study-group-3247186473?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=N4sNY9EfYb94xx0TIkZz7w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
