role,company,location,time,link,Domain,scraped,Experience
Data Analyst,Artech L.L.C.,"Bengaluru, Karnataka, India",4 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-artech-l-l-c-3385623931?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=ieVWlWJ5A%2F9BmOdXmpeysw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,3-4 years experience
Big Data Analyst,DCB Bank,"Mumbai, Maharashtra, India",15 minutes ago,https://in.linkedin.com/jobs/view/big-data-analyst-at-dcb-bank-3385626424?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=CF%2F1ylP8DgqAEQCUbqwF4w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,Experience Minimum 2 years
Senior Data Analyst(Power BI/Python),Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/senior-data-analyst-power-bi-python-at-societe-generale-global-solution-centre-3325297042?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=ymK8tgZgiH4UxdD6XK01Tw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,
Data Engineer,HARMAN International,"Bengaluru, Karnataka, India",18 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-harman-international-3322910615?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=l16Cbyr1xxKBYfWu4c06XQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,"experience
3 years"
Data Emgineer,Bajaj Auto Ltd,"Jaipur, Rajasthan, India",1 hour ago,https://in.linkedin.com/jobs/view/data-emgineer-at-bajaj-auto-ltd-3387838304?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=TAodDOXJf4%2FcR6OXTkCWLQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,
Data Emgineer,Bajaj Auto Ltd,"Rajkot, Gujarat, India",1 hour ago,https://in.linkedin.com/jobs/view/data-emgineer-at-bajaj-auto-ltd-3387839232?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=cZpf5ectKtVuKsb0UliE0Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,
Data Emgineer,Bajaj Auto Ltd,"Indore, Madhya Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-emgineer-at-bajaj-auto-ltd-3387841008?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=xWSGSlWIaes6NoS6gVWx%2FA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,
Data Emgineer,Bajaj Auto Ltd,"Amritsar, Punjab, India",1 hour ago,https://in.linkedin.com/jobs/view/data-emgineer-at-bajaj-auto-ltd-3387840263?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=%2BAaZRgG0W4TqJSBm6IegkA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,
Data Emgineer,Bajaj Auto Ltd,"Mumbai, Maharashtra, India",1 hour ago,https://in.linkedin.com/jobs/view/data-emgineer-at-bajaj-auto-ltd-3387839223?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=EqnZhblNSQXLRDjcWk%2FAcw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,
Data Emgineer,Bajaj Auto Ltd,"Nagpur, Maharashtra, India",1 hour ago,https://in.linkedin.com/jobs/view/data-emgineer-at-bajaj-auto-ltd-3387839239?refId=Njdi1Br5cKbucygVj5Jyvw%3D%3D&trackingId=65F52c0LCXi0fshUgtPp%2BA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,05-12-2022_10:38:13,
