,role,company,location,time,link,scraped
0,Data Analyst,PediaGeek,India,19 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-pediageek-3253728108?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=ydYblXBxL3aJA5Uyg3Fu3Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
1,Data Analyst,Lejhro Bootcamp,India,2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-lejhro-bootcamp-3248349337?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=4Gcx1VUuRZz1varyojYS%2FQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
2,Data Analyst Bootcamp,Lejhro Bootcamp,India,12 hours ago,https://in.linkedin.com/jobs/view/data-analyst-bootcamp-at-lejhro-bootcamp-3250488127?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=AC8Kp2L13Abt64hu%2B18a2Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
3,Data Analyst,Elixir Engineering Pvt. Ltd.,Mumbai Metropolitan Region,21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-elixir-engineering-pvt-ltd-3244104308?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=1g3Kvb6hJvvoT4wiNxvRVA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
4,Data Analyst,Cyient,"Hyderabad, Telangana, India",23 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-cyient-3254851022?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=7%2B82vwQznJ%2BOmaCqNHbkeQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
5,Analyst - Data Science,American Express,"Gurgaon, Haryana, India",13 hours ago,https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-3247888906?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=sKG65sK0jV3qY0%2FOmExrtw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
6,Data Analyst,Techno Sportswear Pvt Ltd,"Tiruppur, Tamil Nadu, India",10 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-techno-sportswear-pvt-ltd-3248368503?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=vpMfJW7GvahXtsSiZKPb8g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
7,Data Analyst,Product Academy,"Bengaluru, Karnataka, India",21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-product-academy-3252904088?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=xLqNulCcujBBmR78dhPM2g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
8,Data Analyst,"Entytle, Inc.","Pune, Maharashtra, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-entytle-inc-3255263491?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=FPL7%2BAq5PzP72oWP1RXZrQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
9,Data Analyst,Iris Software Inc.,"Noida, Uttar Pradesh, India",19 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-iris-software-inc-3247825365?refId=D%2Bs40pKsMJ5GQVtzUf6q%2BQ%3D%3D&trackingId=2liQgiwQpDHa0yP7ChlrrA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,06-09-2022_10:37:52
