role,company,location,time,link,Domain,scraped
Data Analyst,INTIGNIZ Solutions Pvt. Ltd.,India,47 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-intigniz-solutions-pvt-ltd-3310641783?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=stgkxnMHYE4QA2VpzjLVTg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst,Shiprocket,"New Delhi, Delhi, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-shiprocket-3307995209?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=wSeZdLvGOv6ulik7hbt3VQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst,Atreus Consultant,"Mumbai, Maharashtra, India",12 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-atreus-consultant-3309581436?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=g86Kr9bZKXks%2Bllol0OKOQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst,PediaGeek,India,47 minutes ago,https://in.linkedin.com/jobs/view/data-analyst-at-pediageek-3309579527?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=X6sA0vD%2BNLLjLoUUzNak3g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer Fresher,Escorts Kubota Limited,"Madurai, Tamil Nadu, India",8 hours ago,https://in.linkedin.com/jobs/view/data-engineer-fresher-at-escorts-kubota-limited-3309069720?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=K9USwRwdLiKbJgueZ2sUWw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
"Analyst, Master Data",Molex,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/analyst-master-data-at-molex-3314041551?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=4yaXwAYTi8YkfZqyeM8M5Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Business analyst- Data Insight-BFS022428,Genpact,"Bengaluru, Karnataka, India",7 hours ago,https://in.linkedin.com/jobs/view/business-analyst-data-insight-bfs022428-at-genpact-3313741279?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=0Cs6y7BVX2DwaewAwja1eA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Aptus Data Labs - Marketing Analyst,Aptus Data Labs,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/aptus-data-labs-marketing-analyst-at-aptus-data-labs-3309541003?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=dwYwdrqJUU%2FP4hXfgO8zlQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Sr. Data Analyst,Thomson Reuters,"Hyderabad, Telangana, India",10 hours ago,https://in.linkedin.com/jobs/view/sr-data-analyst-at-thomson-reuters-3313775455?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=Uy4PSa78sFkIbUAcGnqlbA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
SQL Database Developer,TechStar Group,"Hyderabad, Telangana, India",14 minutes ago,https://in.linkedin.com/jobs/view/sql-database-developer-at-techstar-group-3310645276?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=NQXuBcEMYCRoR4%2BTmLG2iw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineers,TechStar Group,"Noida, Uttar Pradesh, India",20 hours ago,https://in.linkedin.com/jobs/view/data-engineers-at-techstar-group-3309252693?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=lJGKBQwfyZ0nC2BxlzOutA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer,KG Invicta Services (KGiS),"Bengaluru, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-at-kg-invicta-services-kgis-3306852754?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=AwlZu6RPXUt5z3JsPA1sjQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer,iQuest Management Consultants,India,2 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-iquest-management-consultants-3309775617?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=5hsOVZUUcA2kg2GkXSyY9A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Analytics Engineer,Gartner,"Gurgaon, Haryana, India",14 hours ago,https://in.linkedin.com/jobs/view/analytics-engineer-at-gartner-3307331265?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=Z2IoeS%2FJ%2B1K2FMLLXIK6LQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Business Analyst - Analytics-ANA005841,Genpact,"Bengaluru, Karnataka, India",7 hours ago,https://in.linkedin.com/jobs/view/business-analyst-analytics-ana005841-at-genpact-3313779700?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=wQeW7fpJo6fBGjDm8GH6FA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer,Newforce Global Services Ltd,"Bengaluru, Karnataka, India",9 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-newforce-global-services-ltd-3310654009?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=FDHxudPV7Dq7kFZBzMIPVQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer,Webonise,"Pune, Maharashtra, India",10 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-webonise-3309525468?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=MKf2jM1qE0mnJbNDd7iNpg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst,Lejhro Bootcamp,India,2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-lejhro-bootcamp-3309576993?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=sw%2BHOBTjsF3ZxbAeb4dQHQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Analyst,Novartis India,"Hyderabad, Telangana, India",55 minutes ago,https://in.linkedin.com/jobs/view/analyst-at-novartis-india-3314501446?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=NmiGcnorwBTvC%2F2j5KzNvw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer,iQuest Management Consultants,"Bengaluru, Karnataka, India",28 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-iquest-management-consultants-3309584388?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=sOJobsTHZIbSnN%2FGGWrXyg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer,Blue Ocean Ventures,"Bengaluru, Karnataka, India",16 hours ago,https://in.linkedin.com/jobs/view/data-engineer-at-blue-ocean-ventures-3307307325?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=A1eFCl%2BHGFy3kYL2AjR%2BDw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Engineer,"Miracle Software Systems, Inc","Visakhapatnam, Andhra Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-at-miracle-software-systems-inc-3309586078?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=6CbnC4ifmcOn7VSoDOwfnQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Satori Group - Senior Data Analyst - Validation & Visualization,Satori Group India,"Navi Mumbai, Maharashtra, India",10 hours ago,https://in.linkedin.com/jobs/view/satori-group-senior-data-analyst-validation-visualization-at-satori-group-india-3308509447?refId=Ehu2gPv0dd7fpM9TII63xw%3D%3D&trackingId=YRBPfZ1PSSIRN3KSIwclcg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Analyst,Boston Consulting Group (BCG),"Delhi, Delhi, India",15 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-boston-consulting-group-bcg-3285574617?refId=GLbVma56C7ZFS42dYogQgw%3D%3D&trackingId=PTk2mBuyx1BQqONgzt%2BXaA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
