role,company,location,time,link,scraped
Data Analyst,GenXHire Services Private Limited,"Navi Mumbai, Maharashtra, India",1 hour ago,https://in.linkedin.com/company/genxhire?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,GenXHire Services Private Limited,"Mumbai, Maharashtra, India",3 hours ago,https://in.linkedin.com/company/genxhire?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,SECARA INTERNATIONAL PVT LTD,"Kochi, Kerala, India",59 minutes ago,https://www.linkedin.com/company/secara-international?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,COINDSYZ INFO TECHNOLOGIES,"Coimbatore, Tamil Nadu, India",8 minutes ago,https://in.linkedin.com/company/coindsyz-info-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Convin,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/company/convin?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,COINDSYZ INFO TECHNOLOGIES,"Coimbatore, Tamil Nadu, India",10 minutes ago,https://in.linkedin.com/company/coindsyz-info-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Appen,India,18 hours ago,https://au.linkedin.com/company/appen?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Appen,India,18 hours ago,https://au.linkedin.com/company/appen?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,COINDSYZ INFO TECHNOLOGIES,"Coimbatore, Tamil Nadu, India",28 minutes ago,https://in.linkedin.com/company/coindsyz-info-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Committed Communities Development Trust,"Mumbai, Maharashtra, India",1 hour ago,https://in.linkedin.com/company/committed-communities-development-trust?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
"Learn Data Analyst with Python, Sql & Tableau @ Just 9,999 INR Per Month",LEJHRO,India,46 minutes ago,https://in.linkedin.com/company/lejhro?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Appen,"Karnataka, India",18 hours ago,https://au.linkedin.com/company/appen?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Appen,"Mumbai, Maharashtra, India",18 hours ago,https://au.linkedin.com/company/appen?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Appen,"Mumbai, Maharashtra, India",18 hours ago,https://au.linkedin.com/company/appen?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,IHS Markit,"Bengaluru, Karnataka, India",12 hours ago,https://uk.linkedin.com/company/ihsmarkit?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst [SQL],Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/company/giant-eagle-gcc?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Overseas IT Services,"Hyderabad, Telangana, India",7 hours ago,https://in.linkedin.com/company/overseas-it-services?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Six10 Ventures,"Hyderabad, Telangana, India",16 hours ago,https://www.linkedin.com/company/six10-ventures?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
IND Data Analyst,Aon,"Bengaluru, Karnataka, India",21 hours ago,https://uk.linkedin.com/company/aon?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
AWS Data Quality Analyst,Winning Edge,India,31 minutes ago,https://in.linkedin.com/company/winning-edge-india?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,AFIV DATA OUTSOURCING,"Surat, Gujarat, India",22 hours ago,https://in.linkedin.com/company/afiv-data-outsourcing?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Analyst/Data Analytics,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India",12 hours ago,https://in.linkedin.com/company/d.-e.-shaw-india-private-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst - Senior Associate,EY,"Kochi, Kerala, India",14 hours ago,https://uk.linkedin.com/company/ernstandyoung?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Brightly,"Noida, Uttar Pradesh, India",19 hours ago,https://www.linkedin.com/company/brightlysoftware?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Biofourmis,"Bangalore Urban, Karnataka, India",19 hours ago,https://www.linkedin.com/company/biofourmis?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,GenXHire Services Private Limited,"Navi Mumbai, Maharashtra, India",1 hour ago,https://in.linkedin.com/company/genxhire?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,GenXHire Services Private Limited,"Mumbai, Maharashtra, India",3 hours ago,https://in.linkedin.com/company/genxhire?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,SECARA INTERNATIONAL PVT LTD,"Kochi, Kerala, India",59 minutes ago,https://www.linkedin.com/company/secara-international?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,COINDSYZ INFO TECHNOLOGIES,"Coimbatore, Tamil Nadu, India",8 minutes ago,https://in.linkedin.com/company/coindsyz-info-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Convin,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/company/convin?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,COINDSYZ INFO TECHNOLOGIES,"Coimbatore, Tamil Nadu, India",10 minutes ago,https://in.linkedin.com/company/coindsyz-info-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Appen,India,18 hours ago,https://au.linkedin.com/company/appen?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
Data Analyst,Appen,India,18 hours ago,https://au.linkedin.com/company/appen?trk=public_jobs_jserp-result_job-search-card-subtitle,24-08-2022 11:11:37
