role,company,location,time,link,scraped
Data Analyst,Appen,India,2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237241917?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=gysyUxhoMXgM8O7WBET92Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,India,2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237247447?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=wGTvrYFMxD9LgWRvqW04sw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,"Delhi, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237244647?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=tM8KA%2BDS%2B3JoppiHBhCtVw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,"Delhi, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237247451?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=Wc3prtPinYs1In8ET5CcMw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,"Delhi, Delhi, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237242901?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=zrRBwAPsMpFaX3wEoao%2FNw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,"Mumbai, Maharashtra, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237244645?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=8ZFiJM6ymRfb4fA%2FA%2Bn8gQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,"Karnataka, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237248114?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=xsYI5bMO5BHeZMOdUpdmcQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,"Maharashtra, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237248113?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=H%2FkpFKYIbKxU1OwW8vCZYw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst,Appen,"Mumbai, Maharashtra, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-appen-3237248108?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=bwn1xmhVwqymcwYsAAbnKQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
Data Analyst (SQL Python),DemandHelm,"Mumbai, Maharashtra, India",2 hours ago,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-demandhelm-3241429231?refId=4wR3PjJcmWGwbUnm54jocw%3D%3D&trackingId=wlReFKhfwCfq62aprpfVOQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,29-08-2022_14:25:32
