role,company,location,time,link,scraped
Business Analyst,PayNways,"Noida, Uttar Pradesh, India",1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-paynways-3238317922?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=%2B4K5Ympw9GjKGIg%2BuLFQkQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,EXL,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-exl-3237638224?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=jQCsf4Iplrxj8nHjXXjesw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
IT Business Analyst,Batish Technologies Pty Ltd,"Chandigarh, India",31 minutes ago,https://in.linkedin.com/jobs/view/it-business-analyst-at-batish-technologies-pty-ltd-3238333439?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=VtQbLcCPZ31EgGB7t0asXg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,HRPG Internship,India,1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-hrpg-internship-3243006371?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=hQqH%2FFUOKzAQeAuYV5YNDQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,Jobs in Nagpur,India,1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-jobs-in-nagpur-3238312133?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=6OMnhPIiq7o3fE4r6T20xA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,ARSCCOM,"Bengaluru, Karnataka, India",8 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-arsccom-3238340460?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=8Z9YKYo6XAekWTuGhcCqeg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,Deputize Consultancy Pvt Ltd,"Mumbai, Maharashtra, India",20 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-deputize-consultancy-pvt-ltd-3238334277?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=TXQRsqrOJtMvzKewWcKaNw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Information Technology Business Analyst,Aeroflex Industries Limited,"Navi Mumbai, Maharashtra, India",3 hours ago,https://in.linkedin.com/jobs/view/information-technology-business-analyst-at-aeroflex-industries-limited-3242878349?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=yimnLOZj8FdLtaMWdJYz0Q%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,CtrlAltHeal,"Hyderabad, Telangana, India",28 minutes ago,https://in.linkedin.com/jobs/view/business-analyst-at-ctrlaltheal-3243024478?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=OHryXcCkRpSGnmT5jMS5%2Fw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst (0-2 yrs work-exp),Workfall,India,22 hours ago,https://in.linkedin.com/jobs/view/business-analyst-0-2-yrs-work-exp-at-workfall-3241486668?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=FLCuy0oL7dibhuw%2BpSHkDA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,Adecco,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-adecco-3237257798?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=gX8npK8SZkAt2Jj0eSjvrA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst - Insurance,Newgen Software,"Noida, Uttar Pradesh, India",14 hours ago,https://in.linkedin.com/jobs/view/business-analyst-insurance-at-newgen-software-3233287856?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=L357NwZEnlkv9BigzhhAHg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,CGI,"Hyderabad, Telangana, India",13 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-cgi-3244707098?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=sVknxqQGdLXqAz5aAhwcwA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,Brainium Information Technologies,India,15 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-brainium-information-technologies-3237610246?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=56MRL9fqAIMJERKezg0zHQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,Confidential,"Delhi, India",1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-confidential-3242899317?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=cW7dFDwp29q7L%2BKrG4%2BV9A%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
IT Business Analyst (Immediate/15-30 Days Joiner),Majoris Technologies,"Bangalore Urban, Karnataka, India",1 hour ago,https://in.linkedin.com/jobs/view/it-business-analyst-immediate-15-30-days-joiner-at-majoris-technologies-3244923327?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=BcCrs1%2FXXFsDmExEh03Qnw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,Maxtra Technologies Pvt Ltd,"Noida, Uttar Pradesh, India",22 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-maxtra-technologies-pvt-ltd-3237243940?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=XNVpU6fkZWOa1FH84xTG5w%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,Covacsis Technologies Pvt. Ltd.,"Mumbai, Maharashtra, India",20 hours ago,https://in.linkedin.com/jobs/view/business-analyst-at-covacsis-technologies-pvt-ltd-3241749813?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=mVgIpZGGLJg%2FPEdfuFjNSg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
Business Analyst,AKS ProTalent,India,1 hour ago,https://in.linkedin.com/jobs/view/business-analyst-at-aks-protalent-3236973066?refId=zEt%2Ba%2FUAZai8FaiQ30ZR7w%3D%3D&trackingId=OiNGTaewClnUW7WHKjmLqg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,30-08-2022_11:01:48
